name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
复兴门北大街,2室1厅,520,71.6平米,低楼层(共22层),1992年建塔楼
国英园,2室2厅,1200,136.8平米,高楼层(共6层),1997年建板楼
盛景嘉园,6室3厅,2200,258平米,高楼层(共7层),2004年建板楼
清芷园,4室2厅,1600,226.84平米,高楼层(共16层),2003年建板塔结合
上国阙,4室2厅,3750,293平米,中楼层(共15层),2008年建板塔结合
西城晶华,2室2厅,1000,94.63平米,中楼层(共11层),2004年建板塔结合
裕中西里,2室1厅,580,72.38平米,高楼层(共20层),1983年建塔楼
荣丰2008,1室0厅,250,36.65平米,低楼层(共26层),2000年建塔楼
富成大厦,2室1厅,400,71平米,中楼层(共9层),1999年建塔楼
佟麟阁路62号院,1室1厅,490,47平米,中楼层(共16层),1988年建塔楼
二龙路,2室1厅,850,65.5平米,低楼层(共17层),1980年建塔楼
凯迪尚府,3室1厅,1200,145.52平米,中楼层(共14层),2010年建板塔结合
信建里小区,2室1厅,390,61.02平米,低楼层(共6层),1985年建板楼
圣都大厦,3室1厅,560,177.47平米,中楼层(共20层),2001年建塔楼
中华家园,4室2厅,1500,284.36平米,中楼层(共12层),2004年建板塔结合
华裕园小区,3室1厅,930,99.7平米,高楼层(共7层),2000年建板楼
天安国汇,1室2厅,900,135平米,中楼层(共17层),2008年建塔楼
核桃园,2室1厅,305,59平米,高楼层(共6层),1989年建板楼
冰窖口胡同73号院,2室1厅,480,54.8平米,低楼层(共6层),1983年建板楼
贵仁居,2室2厅,650,95平米,中楼层(共20层),2007年建塔楼
安德馨居,2室1厅,780,66.64平米,低楼层(共6层),2003年建板楼
人定湖西里,2室1厅,400,53.9平米,高楼层(共5层),1958年建板楼
京师吉地,1室0厅,420,42.1平米,低楼层(共20层),2011年建板塔结合
远雄大观,2室2厅,680,94平米,高楼层(共6层),2009年建板楼
白菜湾四巷17号院,2室1厅,430,62.56平米,高楼层(共6层),1988年建板楼
禄长街头条,2室1厅,315,51.06平米,中楼层(共6层),1992年建板楼
裕中东里,3室1厅,600,71.7平米,高楼层(共6层),1986年建板楼
朗琴园,4室2厅,1450,185平米,中楼层(共29层),2002年建塔楼
信德园,3室2厅,630,147平米,低楼层(共23层),2002年建塔楼
樱桃二条8号院,1室1厅,420,74.28平米,中楼层(共14层),2004年建板塔结合
德胜置业,4室1厅,1200,266.75平米,低楼层(共20层),2005年建塔楼
红莲南里,2室1厅,285,56.8平米,高楼层(共6层),1980年建板楼
耕天下,5室2厅,2000,287平米,中楼层(共7层),2003年建板楼
畅柳园,3室1厅,690,108.27平米,低楼层(共14层),2004年建板塔结合
三里河二区B区,2室1厅,800,85.33平米,中楼层(共18层),2001年建塔楼
朱雀门,5室3厅,3200,387.4平米,高楼层(共6层),2005年建板楼
畅柳园,1室1厅,390,55平米,中楼层(共14层),2000年建板塔结合
厂甸11号院,2室1厅,462,61平米,高楼层(共6层),1980年建板楼
依莲轩,2室1厅,580,138.32平米,低楼层(共24层),2001年建塔楼
富明公寓,2室2厅,600,115平米,中楼层(共25层),1995年建板塔结合
禄长街头条19号院,2室1厅,370,49.92平米,低楼层(共5层),1990年建板楼
北广家园,2室1厅,730,77.09平米,低楼层(共17层),2004年建板塔结合
恒昌花园,4室2厅,670,221平米,低楼层(共28层),1990年建塔楼
丽水莲花,2室1厅,580,90.29平米,高楼层(共28层),2005年建塔楼
建功北里,2室1厅,320,69.79平米,高楼层(共6层),1996年建板楼
车站西街15号院,2室1厅,340,58平米,高楼层(共6层),1994年建板楼
真武庙,3室1厅,580,73.4平米,中楼层(共6层),1982年建板楼
姚家井二巷,3室1厅,475,73平米,高楼层(共6层),1992年建板楼
北纬路49号院,2室1厅,335,55平米,低楼层(共6层),1998年建板楼
白云观,2室1厅,350,50.8平米,低楼层(共6层),1985年建板楼
恬心家园,2室1厅,545,86.4平米,低楼层(共19层),2000年建板塔结合
裕中西里,2室1厅,530,60.2平米,高楼层(共6层),1983年建板楼
德胜置业,1室1厅,340,88.25平米,高楼层(共20层),2003年建塔楼
枣林前街,2室1厅,242,54.87平米,高楼层(共6层),1989年建板楼
裕中西里,2室1厅,550,62.9平米,低楼层(共20层),1981年建板塔结合
新康街甲一号,3室1厅,820,94平米,低楼层(共13层),1998年建板塔结合
丰融园小区,2室2厅,1800,120.6平米,中楼层(共8层),2003年建板塔结合
似海怡家,1室1厅,360,63平米,高楼层(共25层),2000年建板塔结合
六铺炕二区,2室1厅,570,58.3平米,低楼层(共3层),1953年建板楼
天宁寺东里,3室1厅,300,72平米,地下室(共6层),1984年建板楼
车站西街15号院,2室1厅,350,57平米,高楼层(共6层),1994年建板楼
天桥北里,2室1厅,425,80.83平米,高楼层(共7层),2002年建板楼
新安中里,3室1厅,670,114.67平米,高楼层(共6层),2002年建板楼
德外大街乙12号院,2室1厅,460,60.5平米,高楼层(共6层),1982年建板楼
教场口9号院,3室1厅,860,85平米,高楼层(共21层),1995年建塔楼
太仆寺33号院,2室1厅,1200,103平米,中楼层(共6层),2001年建板楼
新街口西里二区,5室2厅,760,134平米,高楼层(共6层),2002年建板楼
佟麟阁路62号院,1室1厅,550,46平米,低楼层(共16层),1988年建塔楼
远见名苑,1室0厅,300,46.57平米,低楼层(共24层),2002年建板塔结合
畅柳园,2室2厅,780,109.59平米,中楼层(共9层),2000年建板塔结合
官苑8号,3室2厅,1380,172.01平米,低楼层(共16层),2004年建板塔结合
丰融园小区,5室2厅,3260,217.5平米,低楼层(共8层),2003年建板塔结合
庄胜二期,2室1厅,760,81.63平米,低楼层(共12层),2004年建板塔结合
恒昌花园,2室1厅,455,85.85平米,低楼层(共4层),1996年建板楼
白纸坊西街6号院,2室1厅,425,61.57平米,中楼层(共6层),1990年建板楼
华尊大厦,3室2厅,660,219.21平米,高楼层(共18层),2001年建板塔结合
太平桥东里,2室1厅,250,58.4平米,中楼层(共6层),1986年建板楼
牛街东里,2室1厅,418,73.37平米,低楼层(共19层),1999年建塔楼
马连道中里,2室1厅,428,70.1平米,高楼层(共18层),1996年建塔楼
新街口西里三区,2室1厅,425,62.4平米,低楼层(共6层),2003年建板楼
广华轩,4室2厅,850,193平米,高楼层(共24层),1999年建塔楼
信恒大厦,2室1厅,630,122平米,中楼层(共25层),2002年建板塔结合
一瓶,4室2厅,4680,369平米,中楼层(共12层),2004年建板塔结合
时代之光名苑,3室2厅,990,212平米,中楼层(共16层),2000年建塔楼
小后仓,1室1厅,323,47.1平米,低楼层(共9层),1990年建板塔结合
乐城,3室2厅,515,105.81平米,低楼层(共24层),2004年建板塔结合
月坛北小街甲7号院,3室1厅,520,63.7平米,低楼层(共6层),1978年建板楼
椿树园,2室1厅,625,68.65平米,低楼层(共18层),1999年建塔楼
北欧印象,1室1厅,193,42.23平米,低楼层(共28层),2003年建塔楼
白云路七号院,2室0厅,360,60.5平米,地下室(共6层),1983年建板楼
小石桥胡同11号院,2室1厅,500,60.2平米,高楼层(共6层),1991年建板楼
如意里,2室1厅,450,60.1平米,高楼层(共7层),1991年建板楼
北小马厂3号院,3室2厅,800,128.3平米,高楼层(共8层),1999年建板塔结合
枫桦豪景一期,1室1厅,430,67平米,中楼层(共14层),2002年建板塔结合
北礼士路,3室1厅,541,85.9平米,中楼层(共13层),1990年建板塔结合
新壁街,3室1厅,1050,134平米,高楼层(共6层),2004年建
马连道三巷,2室1厅,280,50平米,高楼层(共5层),1974年建板楼
裕中西里,1室1厅,450,42.6平米,高楼层(共6层),1983年建板楼
西华经典,3室2厅,850,129.63平米,低楼层(共25层),2000年建板塔结合
常青藤嘉园,1室1厅,350,64.28平米,中楼层(共22层),2004年建塔楼
大耳胡同,1室0厅,248,27.3平米,低楼层(共1层),1949年建
蝶翠华庭,2室1厅,600,95.75平米,高楼层(共21层),2003年建塔楼
西便门外大街,2室1厅,460,60平米,低楼层(共12层),1984年建板楼
宏汇园小区,3室1厅,1180,92.6平米,中楼层(共7层),2000年建板楼
北礼士路,2室1厅,460,65.2平米,高楼层(共13层),1990年建板塔结合
双旗杆东里,2室1厅,500,58.7平米,中楼层(共6层),1984年建板楼
新安中里,2室1厅,425,65平米,中楼层(共6层),2002年建板楼
马甸南村,2室1厅,493,54.8平米,低楼层(共16层),1985年建塔楼
西豪逸景,3室2厅,520,93.92平米,高楼层(共28层),2002年建塔楼
复兴门南大街,2室1厅,580,57.74平米,低楼层(共12层),1985年建塔楼
裕中西里,1室1厅,400,42.3平米,中楼层(共6层),1983年建板楼
丰汇园小区,2室1厅,950,66.6平米,高楼层(共12层),1997年建板塔结合
金宸国际公寓,3室1厅,2700,261平米,高楼层(共13层),2000年建板塔结合
宏英园小区,3室1厅,1350,101.19平米,高楼层(共9层),2002年建板塔结合
远见名苑,1室0厅,300,57.75平米,高楼层(共24层),2002年建板塔结合
北欧印象,1室0厅,270,58.36平米,高楼层(共25层),2003年建塔楼
四合上院,4室2厅,2190,224.98平米,中楼层(共18层),2011年建板塔结合
新街口西里一区,4室2厅,800,146.39平米,高楼层(共7层),2000年建板楼
新外大街28号院,2室1厅,510,76.5平米,地下室(共8层),1999年建板塔结合
教场口6号院,1室1厅,435,52.2平米,低楼层(共6层),1998年建板楼
德外大街乙12号院,2室1厅,470,57.8平米,高楼层(共4层),1987年建板楼
太平桥东里,1室1厅,170,40.35平米,低楼层(共6层),1985年建板楼
远见国际公寓,1室0厅,230,44平米,中楼层(共26层),2004年建塔楼
荣丰2008,1室1厅,268,35.11平米,低楼层(共10层),2002年建板塔结合
华远北街,2室1厅,730,71.7平米,中楼层(共17层),2000年建板塔结合
红莲中里,2室1厅,268,52.51平米,高楼层(共6层),1988年建板楼
三里河一区,1室1厅,400,36.4平米,高楼层(共6层),1980年建板楼
西豪逸景,1室1厅,380,61平米,高楼层(共28层),2002年建板塔结合
北露园,1室0厅,355,50.6平米,低楼层(共6层),1993年建板楼
牛街西里,2室1厅,405,74平米,中楼层(共19层),2002年建塔楼
立恒名苑,5室2厅,747,257平米,低楼层(共25层),2002年建塔楼
四平园,1室1厅,360,48.7平米,高楼层(共6层),1996年建板楼
中海凯旋,3室2厅,2500,154平米,高楼层(共8层),2001年建板塔结合
华尊大厦,3室1厅,650,209平米,高楼层(共18层),2001年建板塔结合
丰汇园小区,3室2厅,1780,149平米,中楼层(共6层),1998年建板楼
丽华苑,3室2厅,1220,111平米,低楼层(共7层),1998年建板楼
天宁寺东里,2室1厅,300,56平米,低楼层(共7层),1980年建板楼
玉桃园三区,1室1厅,300,50.6平米,高楼层(共6层),1996年建板楼
三义东里,1室1厅,245,40.13平米,低楼层(共6层),1980年建板楼
裕中东里,3室1厅,720,86.9平米,中楼层(共6层),1986年建板楼
裕中西里,2室1厅,528,52.7平米,低楼层(共6层),1980年建板楼
月坛北街,2室1厅,450,64.6平米,中楼层(共11层),1985年建板塔结合
北广家园,1室0厅,390,38.71平米,高楼层(共16层),2003年建板塔结合
教场口6号院,1室1厅,480,56.51平米,中楼层(共6层),1998年建板楼
大六部口,1室0厅,300,14.12平米,低楼层(共1层),板楼
恬心家园,1室0厅,240,54.44平米,高楼层(共18层),2000年建板塔结合
裕中东里,2室1厅,630,72平米,低楼层(共7层),1988年建板楼
源屋曲,1室1厅,320,55平米,高楼层(共21层),2004年建塔楼
西直门南大街,1室0厅,320,32.6平米,低楼层(共22层),1990年建塔楼
璟莲馨苑,4室1厅,750,166.52平米,高楼层(共18层),2001年建塔楼
格调,2室2厅,580,119.83平米,低楼层(共23层),2000年建板塔结合
复兴门北大街,2室1厅,720,88.4平米,高楼层(共22层),1990年建塔楼
马甸南村,2室1厅,523,71.6平米,高楼层(共13层),1990年建板塔结合
富卓花园,3室2厅,1280,135.68平米,中楼层(共21层),2003年建塔楼
车公庄北里,2室1厅,252,67平米,地下室(共6层),1995年建板楼
展览路,2室1厅,410,58.1平米,高楼层(共6层),1987年建板楼
新风街,1室1厅,450,42.9平米,低楼层(共16层),1992年建塔楼
南运巷,1室1厅,278,54.02平米,中楼层(共18层),1993年建塔楼
迈豪时代,3室2厅,600,126.91平米,低楼层(共7层),2000年建板楼
牛街东里,2室1厅,410,76.2平米,高楼层(共19层),1999年建塔楼
大井胡同,1室0厅,355,38平米,高楼层(共6层),1987年建板楼
万和世家,4室2厅,3000,468平米,中楼层(共8层),2003年建板塔结合
官园南里三区,2室1厅,550,60.5平米,中楼层(共11层),1986年建板塔结合
信德园,3室2厅,758,164.61平米,中楼层(共12层),2001年建板塔结合
四平园,1室1厅,360,49平米,中楼层(共6层),1995年建板楼
天桥北里,1室1厅,285,55.05平米,中楼层(共7层),2002年建板楼
马甸南村,2室1厅,670,73.6平米,高楼层(共18层),1986年建塔楼
康乐里小区,2室1厅,960,114平米,低楼层(共16层),2001年建板塔结合
四平园,1室1厅,295,54.84平米,中楼层(共6层),1995年建板楼
教场口9号院,2室1厅,580,70平米,高楼层(共20层),2000年建塔楼
马甸南村,1室1厅,490,52.1平米,中楼层(共13层),1990年建板塔结合
天宁寺前街南里,2室1厅,470,78.16平米,高楼层(共6层),1991年建板楼
牛街18,1室0厅,242,43.78平米,中楼层(共24层),2003年建塔楼
阜成门南大街,2室1厅,485,60.8平米,低楼层(共14层),1985年建板塔结合
畅柳园,1室1厅,400,54平米,低楼层(共14层),1998年建板塔结合
阜成门外大街,4室1厅,700,186平米,低楼层(共9层),1994年建板塔结合
泰和嘉苑,2室1厅,610,96.84平米,低楼层(共21层),2002年建塔楼
三里河一区,3室0厅,600,66.6平米,中楼层(共6层),1989年建板楼
新安中里,1室1厅,310,56.66平米,低楼层(共16层),2002年建板塔结合
华龙美钰,2室1厅,585,90平米,低楼层(共11层),2013年建板塔结合
天桥南里,1室1厅,330,57.28平米,高楼层(共7层),2002年建板楼
富国里小区,3室1厅,630,130平米,地下室(共6层),1999年建板楼
中信沁园,3室2厅,1350,124平米,高楼层(共18层),2009年建板塔结合
乐城,1室1厅,355,63.81平米,低楼层(共24层),2002年建板塔结合
大六部口,3室1厅,700,79.6平米,高楼层(共6层),1991年建板楼
西城晶华,4室1厅,3050,232.4平米,低楼层(共8层),2006年建板塔结合
锦上国际公寓,1室0厅,300,71平米,中楼层(共18层),2007年建塔楼
三里河南二巷,2室1厅,470,58.3平米,高楼层(共6层),1981年建板楼
远见名苑,1室1厅,360,54.98平米,高楼层(共26层),2001年建塔楼
远见名苑,3室2厅,900,147.54平米,低楼层(共20层),2002年建板塔结合
清芷园,2室2厅,830,138.11平米,低楼层(共13层),2001年建板塔结合
椿树园,2室1厅,495,67.99平米,中楼层(共13层),1999年建板塔结合
教场口9号院,2室1厅,555,73.88平米,中楼层(共20层),2000年建塔楼
六铺炕二区,2室0厅,485,63平米,低楼层(共3层),1958年建板楼
新融苑,3室1厅,1350,152平米,低楼层(共13层),2000年建板塔结合
月坛北街25号院,1室1厅,360,40.2平米,低楼层(共6层),1981年建板楼
白云路七号院,3室0厅,480,63平米,高楼层(共6层),1983年建板楼
尚座大厦,3室1厅,1120,169.09平米,低楼层(共18层),2000年建板塔结合
新纪元公寓,1室1厅,390,77.8平米,高楼层(共21层),1997年建塔楼
清芷园,2室1厅,640,80.68平米,高楼层(共18层),2000年建板塔结合
黄寺大街24号院,2室1厅,475,59.2平米,低楼层(共6层),1991年建板楼
京畿道,2室1厅,800,58.9平米,中楼层(共6层),1990年建板楼
德胜门外大街1号院,3室0厅,545,64平米,低楼层(共6层),1997年建板楼
乐城,1室0厅,240,43平米,高楼层(共24层),2004年建板塔结合
宣武门外东大街,2室0厅,440,56平米,高楼层(共12层),1970年建板塔结合
月坛北小街1号院,3室1厅,830,104平米,高楼层(共16层),1997年建板塔结合
青春无限,1室0厅,300,67.49平米,中楼层(共22层),2000年建塔楼
新康街3号院,2室1厅,465,61.2平米,中楼层(共6层),1960年建板楼
双旗杆东里,2室1厅,560,69.5平米,中楼层(共18层),1994年建塔楼
姚家井二巷,2室1厅,385,80.27平米,地下室(共6层),1990年建板楼
广安门外南街,2室1厅,255,49.63平米,低楼层(共6层),1981年建板楼
民康胡同30号院,1室1厅,500,50平米,低楼层(共19层),1986年建塔楼
月坛南街,3室1厅,820,81.5平米,中楼层(共6层),1991年建板楼
姚家井二巷,2室1厅,400,51.54平米,高楼层(共6层),1991年建板楼
新街口西里三区,1室1厅,380,56.13平米,高楼层(共6层),2003年建板楼
清芷园,4室2厅,1200,178平米,低楼层(共16层),2000年建板塔结合
西便门西里,2室1厅,330,49.66平米,低楼层(共6层),1984年建板楼
六铺炕二区,1室1厅,375,37.1平米,中楼层(共5层),1975年建板楼
一瓶,3室2厅,4600,368.83平米,中楼层(共12层),2004年建板塔结合
龙爪槐胡同9号院,3室1厅,540,80平米,高楼层(共6层),1998年建板楼
一瓶,4室1厅,3012,354.22平米,低楼层(共12层),2004年建板塔结合
东经路98号,5室2厅,930,180.6平米,高楼层(共6层),1980年建板楼
马连道中里,2室1厅,380,63.5平米,中楼层(共18层),1996年建
广安门外大街,1室1厅,345,54.34平米,高楼层(共18层),1994年建塔楼
右安门内西街1号院,3室1厅,480,83平米,高楼层(共6层),1997年建板楼
北欧印象,1室0厅,215,43.19平米,中楼层(共25层),2003年建塔楼
荣丰2008,1室1厅,310,39.05平米,高楼层(共16层),2002年建板塔结合
裕中东里,1室1厅,450,46.1平米,中楼层(共6层),1984年建板楼
富国里小区,1室1厅,410,51.4平米,中楼层(共5层),1998年建板楼
六铺炕二区,2室1厅,790,76平米,高楼层(共6层),1986年建板楼
新文化街,2室1厅,660,55.5平米,高楼层(共16层),塔楼
北礼士路,2室2厅,750,84.7平米,低楼层(共12层),1994年建板塔结合
右安门内西街甲10号院,3室1厅,400,66平米,低楼层(共6层),1949年建板楼
核桃园,3室1厅,460,72平米,低楼层(共6层),1989年建板楼
枫桦豪景二期,2室1厅,1100,123平米,中楼层(共12层),2003年建板塔结合
新文化街,2室1厅,750,67平米,低楼层(共18层),塔楼
西直门南大街,2室1厅,434,62平米,低楼层(共18层),1988年建塔楼
畅柳园,2室1厅,558,79.73平米,中楼层(共16层),2003年建塔楼
白云观,2室1厅,400,48.8平米,中楼层(共5层),1976年建板楼
展览路甲22号院,2室1厅,480,58.4平米,中楼层(共6层),1981年建板楼
广华轩,3室1厅,600,106.36平米,高楼层(共24层),1999年建塔楼
小石桥胡同3号院,1室1厅,420,43.3平米,低楼层(共6层),1991年建板楼
三里河东路甲14号院,2室1厅,385,53平米,高楼层(共6层),1976年建板楼
新风北街,3室1厅,565,60平米,中楼层(共6层),1984年建板楼
馨莲茗园,1室1厅,280,59.58平米,高楼层(共25层),2001年建板塔结合
南纬路2号院,2室1厅,380,59.48平米,低楼层(共12层),1981年建板塔结合
德外大街乙12号院,3室1厅,409,54平米,低楼层(共5层),1980年建板楼
车站东街15号院,2室1厅,355,50.45平米,中楼层(共5层),1983年建板楼
大钱市胡同,1室1厅,470,63.3平米,低楼层(共10层),1980年建板塔结合
红土店南里,2室1厅,400,68.13平米,高楼层(共5层),1963年建板楼
华尊大厦,3室2厅,680,209.37平米,高楼层(共18层),2001年建板塔结合
立恒名苑,4室2厅,790,252.65平米,低楼层(共23层),2002年建塔楼
中华家园,5室2厅,1600,280.69平米,高楼层(共12层),2004年建板塔结合
贵仁居,3室1厅,885,160平米,低楼层(共20层),2007年建塔楼
上国阙,5室2厅,4455,297平米,高楼层(共17层),2008年建板塔结合
西城晶华,3室2厅,2015,149.73平米,中楼层(共8层),1998年建板塔结合
四合上院,1室0厅,700,62平米,中楼层(共16层),2011年建板塔结合
立恒名苑,6室3厅,1500,408平米,中楼层(共24层),2002年建塔楼
璟莲馨苑,3室2厅,599,127.49平米,低楼层(共18层),2001年建塔楼
真武庙二里,1室1厅,408,51平米,高楼层(共18层),1990年建塔楼
玺源台,2室1厅,698,111平米,中楼层(共27层),2011年建板楼
小寺街,1室1厅,205,37平米,中楼层(共6层),1981年建板楼
建功北里,2室1厅,340,65.14平米,低楼层(共14层),板楼
复兴门外大街,2室1厅,800,80平米,高楼层(共16层),1990年建塔楼
红山世家,3室2厅,980,142平米,中楼层(共25层),2008年建板塔结合
南运巷,1室1厅,260,54.02平米,高楼层(共18层),1993年建塔楼
广安门外车站东街,2室1厅,385,58.31平米,低楼层(共6层),1992年建板楼
教场口9号院,3室1厅,800,84.83平米,低楼层(共21层),1995年建塔楼
北礼士路70号院,1室1厅,350,44.9平米,高楼层(共6层),1981年建板楼
中信锦园,2室1厅,910,97平米,低楼层(共17层),2008年建板塔结合
太平桥东里,2室1厅,255,59.4平米,高楼层(共26层),1990年建塔楼
远见国际公寓,1室0厅,300,48.79平米,低楼层(共26层),2004年建塔楼
三里河一区,2室1厅,480,58.9平米,高楼层(共6层),1983年建板楼
康乐里小区,2室2厅,750,95.53平米,低楼层(共12层),2000年建板塔结合
天安国汇,1室1厅,890,135平米,高楼层(共17层),2008年建塔楼
爱民里小区,1室1厅,460,44.1平米,低楼层(共7层),1988年建板楼
三里河东路,2室1厅,510,65.1平米,高楼层(共18层),1994年建塔楼
广外南街50号院,2室2厅,499,100.74平米,低楼层(共21层),2001年建塔楼
万明园,3室1厅,698,106.43平米,高楼层(共16层),1995年建板塔结合
木樨地,2室1厅,385,59.6平米,低楼层(共16层),1987年建塔楼
法源寺西里小区,3室1厅,750,135平米,低楼层(共9层),1998年建板塔结合
白纸坊西街,3室1厅,398,76.32平米,中楼层(共16层),1982年建板塔结合
新外大街甲8号院,2室1厅,450,56.2平米,中楼层(共6层),1982年建板楼
朱雀门,4室2厅,3000,283平米,高楼层(共8层),2006年建板塔结合
政泰家园,1室0厅,295,68.13平米,中楼层(共23层),2004年建塔楼
西豪逸景,1室0厅,290,55平米,高楼层(共28层),2000年建塔楼
远见名苑,4室2厅,1380,230.33平米,高楼层(共25层),2002年建塔楼
北露园,1室1厅,330,47.2平米,中楼层(共6层),1993年建板楼
太平桥东里,1室1厅,172,41.2平米,中楼层(共6层),1988年建板楼
西城晶华,2室2厅,1150,94.36平米,中楼层(共11层),2004年建板塔结合
白云观,2室1厅,460,50.8平米,低楼层(共6层),1985年建板楼
三里河东路7号院,3室1厅,370,77.7平米,地下室(共6层),1992年建板楼
舒舍,1室0厅,350,72平米,中楼层(共8层),2000年建板塔结合
槐柏树街北里,2室1厅,410,60平米,中楼层(共5层),1990年建板楼
三里河二区,3室2厅,900,123.3平米,高楼层(共17层),1992年建板塔结合
建功南里,2室1厅,360,76.1平米,低楼层(共16层),1996年建塔楼
金宸国际公寓,3室1厅,1850,205.51平米,中楼层(共13层),2002年建板塔结合
常青藤嘉园,1室0厅,235,45.72平米,低楼层(共11层),2004年建板塔结合
瑞莲家园,3室1厅,485,116平米,高楼层(共24层),2001年建塔楼
西斜街,2室1厅,770,56.1平米,中楼层(共5层),1977年建板楼
木樨地,2室1厅,450,65平米,中楼层(共4层),1960年建板楼
三义东里,1室1厅,225,38.86平米,中楼层(共16层),1990年建塔楼
月坛南街小四道口,1室1厅,375,49.3平米,中楼层(共6层),1993年建板楼
一瓶,2室2厅,1200,143平米,低楼层(共13层),2003年建板塔结合
第三区,1室0厅,125,34平米,高楼层(共18层),2009年建塔楼
西环景苑,3室2厅,693,138.66平米,中楼层(共19层),1999年建塔楼
太平桥东里,2室1厅,256,56.38平米,低楼层(共6层),1985年建板楼
阜成门北大街,3室1厅,615,82平米,高楼层(共13层),1989年建板塔结合
复地西绒线26号,3室2厅,1500,137.83平米,中楼层(共18层),2009年建塔楼
立恒名苑,4室2厅,710,263平米,高楼层(共23层),2002年建塔楼
天宁寺前街南里,1室1厅,240,39.7平米,低楼层(共5层),1992年建板楼
荣丰2008,1室0厅,305,61平米,中楼层(共21层),2002年建塔楼
西豪逸景,1室1厅,330,63.13平米,低楼层(共28层),2002年建
新文化街,1室1厅,700,40.9平米,低楼层(共6层),塔楼
冠英园小区,1室1厅,320,46平米,地下室(共10层),1995年建板塔结合
冰窖口胡同73号院,3室1厅,670,74平米,低楼层(共6层),1983年建板楼
爱民里小区,3室1厅,900,97.6平米,高楼层(共6层),1990年建板楼
六铺炕一区6号院,3室2厅,747,159.7平米,高楼层(共7层),1996年建板楼
西华经典,1室1厅,330,64.73平米,中楼层(共25层),2000年建板塔结合
裕中东里,2室1厅,580,59.5平米,中楼层(共6层),1988年建板楼
格调,1室1厅,295,56平米,中楼层(共23层),2000年建板塔结合
丰侨公寓,2室1厅,1270,90.2平米,中楼层(共22层),2000年建板塔结合
璟莲馨苑,3室1厅,510,127.49平米,低楼层(共18层),2001年建塔楼
西便门内大街79号院,2室1厅,350,81.4平米,中楼层(共6层),1983年建板楼
真武庙四里,1室1厅,366,40.8平米,中楼层(共6层),1982年建板楼
长椿街,1室1厅,295,56.28平米,中楼层(共4层),1950年建板楼
广信嘉园,2室1厅,630,130平米,低楼层(共25层),2002年建塔楼
新外大街3号院,3室1厅,450,78.4平米,低楼层(共5层),1960年建板楼
立恒名苑,2室2厅,586,143平米,低楼层(共23层),2002年建塔楼
裕中东里,2室1厅,450,50.5平米,高楼层(共6层),1980年建板楼
南线阁39号院,3室1厅,560,97平米,中楼层(共18层),1993年建板塔结合
马甸南村,2室1厅,660,76.2平米,高楼层(共6层),1991年建板楼
立恒名苑,1室1厅,480,96平米,低楼层(共24层),2002年建塔楼
西便门外大街,2室1厅,395,49.5平米,地下室(共6层),1986年建板楼
展览路24号院,2室1厅,298,51.5平米,高楼层(共6层),1985年建板楼
马连道中里,2室1厅,500,86平米,高楼层(共6层),1997年建
荣丰2008,3室1厅,860,156.39平米,地下室(共14层),2004年建板塔结合
富明公寓,2室1厅,640,102.23平米,低楼层(共25层),1995年建板塔结合
中信禧园,3室2厅,1230,125平米,中楼层(共24层),2012年建板塔结合
安德东里,2室1厅,588,61平米,高楼层(共5层),1966年建板楼
西便门外大街,3室1厅,900,97平米,高楼层(共6层),1996年建板楼
三里河二区,3室0厅,800,89平米,中楼层(共4层),1993年建板楼
荣丰2008,1室1厅,310,39.05平米,低楼层(共16层),2002年建板塔结合
北三环中路,2室1厅,480,58平米,低楼层(共6层),1980年建板楼
北安里9号院,3室0厅,486,57.2平米,高楼层(共6层),1982年建板楼
月坛南街37号院,2室1厅,610,81.3平米,高楼层(共7层),1993年建板楼
新外大街28号院,2室1厅,480,53.2平米,高楼层(共6层),1984年建板楼
华裕园小区,1室2厅,610,57.4平米,高楼层(共6层),2000年建板楼
西便门东里,2室1厅,410,59.19平米,低楼层(共14层),1980年建板塔结合
裕中东里,2室1厅,498,60.4平米,高楼层(共6层),1987年建板楼
双旗杆东里,3室1厅,600,81平米,中楼层(共18层),1994年建塔楼
阳光丽景,3室2厅,1450,135.25平米,低楼层(共21层),2001年建板塔结合
红莲晴园,3室1厅,680,141平米,中楼层(共20层),2000年建塔楼
三里河二区,4室1厅,1100,140平米,中楼层(共13层),1996年建板塔结合
富宏馨居,2室1厅,700,90.47平米,低楼层(共16层),1990年建板塔结合
西便门外大街,3室0厅,900,101平米,中楼层(共4层),1955年建板楼
天宁寺东里,2室1厅,320,47.85平米,低楼层(共5层),1974年建板楼
建功南里,2室2厅,630,138.97平米,高楼层(共18层),1996年建塔楼
什坊街,2室1厅,608,76平米,中楼层(共5层),1997年建板楼
樱桃二条8号院,1室1厅,415,74.3平米,高楼层(共14层),2004年建板塔结合
海格国际,1室0厅,332,50平米,中楼层(共19层),2003年建塔楼
宣武门西大街,1室0厅,260,39.96平米,中楼层(共12层),1979年建板塔结合
融城,3室2厅,1200,163平米,低楼层(共22层),2000年建板塔结合
西四北大街156号,2室1厅,550,70.9平米,低楼层(共17层),1987年建塔楼
什坊街2号院,2室1厅,500,57.1平米,中楼层(共5层),1980年建板楼
荣丰2008,2室1厅,315,35平米,高楼层(共16层),2004年建塔楼
太平桥东里,2室1厅,215,57.87平米,高楼层(共6层),1991年建板楼
