name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
北礼士路,2室1厅,485,69.3平米,中楼层(共16层),1991年建板塔结合
月坛北街25号院,2室1厅,600,67.5平米,高楼层(共4层),1964年建板楼
贵仁居,2室1厅,670,126平米,低楼层(共20层),2007年建塔楼
月坛南街北里,2室1厅,435,62.1平米,低楼层(共15层),1984年建板塔结合
小红庙,2室1厅,300,54.75平米,高楼层(共6层),1980年建板楼
双旗杆东里,2室1厅,520,66.7平米,低楼层(共18层),1994年建塔楼
如意里,2室1厅,380,57.8平米,低楼层(共7层),1988年建板楼
源屋曲,3室1厅,815,134.18平米,高楼层(共21层),2004年建塔楼
建功北里,3室1厅,400,84.95平米,高楼层(共6层),1996年建板楼
六铺炕一区,2室1厅,581,64.9平米,低楼层(共10层),1986年建板塔结合
牛街西里,2室1厅,410,74平米,低楼层(共19层),2001年建塔楼
裕中西里,2室1厅,568,60.2平米,高楼层(共6层),1983年建板楼
西豪逸景,1室1厅,400,61平米,高楼层(共28层),2002年建板塔结合
黄寺大街24号院,2室1厅,690,90.8平米,中楼层(共18层),1997年建塔楼
太平桥东里,3室1厅,325,80.86平米,中楼层(共6层),1988年建板楼
教场口6号院,1室1厅,450,51.01平米,高楼层(共6层),1998年建板楼
双旗杆东里,2室1厅,520,68.5平米,中楼层(共5层),1980年建板楼
朱雀门,3室2厅,1830,187.91平米,高楼层(共6层),2006年建板楼
裕中西里,2室1厅,550,63.8平米,高楼层(共20层),1983年建板塔结合
迈豪时代,3室2厅,600,127平米,中楼层(共7层),2000年建板楼
时代之光名苑,3室2厅,780,178平米,中楼层(共16层),2001年建塔楼
长椿街,2室1厅,420,68.51平米,高楼层(共6层),1992年建板楼
红莲北里17号院,3室1厅,680,107.05平米,高楼层(共19层),1999年建塔楼
丽水莲花,3室2厅,930,139平米,高楼层(共19层),
恬心家园,3室1厅,580,105.37平米,中楼层(共19层),2000年建板塔结合
裕中西里,2室1厅,590,73.6平米,中楼层(共20层),1983年建塔楼
荣丰2008,1室1厅,350,50.98平米,高楼层(共10层),2002年建板塔结合
六铺炕一区,3室1厅,710,90平米,中楼层(共6层),1994年建板楼
格调,1室2厅,385,72.37平米,中楼层(共23层),2000年建板塔结合
真武庙,3室1厅,658,75.21平米,中楼层(共5层),1965年建板楼
德胜置业,3室1厅,1250,197.09平米,高楼层(共20层),2005年建塔楼
荣丰2008,1室0厅,230,31.35平米,低楼层(共16层),2004年建塔楼
教场口9号院,2室1厅,650,75平米,高楼层(共21层),1992年建塔楼
信德园,3室2厅,660,154.59平米,低楼层(共12层),2001年建板塔结合
